Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,,SYS,TIM1/TIM2/LPTIM1,TIM3/TIM4/TIM5,TIM8/OCTOSPI1/SAI1,I2C1/I2C2/I2C3/I2C4/I2C5,SPI1/SPI2/SPI3/OCTOSPI,SPI3/OCTOSPI2/MDF1,USART1/USART2/USART3/LTDC,UART4/UART5/LPUART1/SDMMC/LTDC,FDCAN1/TSC,USB/OCTOSPI/DCMI,SDMMC2/LPGPIO/FMC/DSI,COMP/FMC/SDMMC1/SDMMC2,SAI1/SAI2/LPTIM2/LPTIM4,TIM2/TIM15/TIM16/TIM17/LPTIM2/LPTIM3,EVENTOUT,
PortA,PA0,,TIM2_CH1,TIM5_CH1,,,,,USART2_CTS,UART4_TX,,OCTOSPIM_P2_NCS,,SDMMC2_CMD,,,EVENTOUT,ADC1_IN5/ADC2_IN5
PortA,PA1,LPTIM1_CH2,TIM2_CH2,TIM5_CH2,,I2C1_SMBA,SPI1_SCK,,USART2_RTS,UART4_RX,,OCTOSPIM_P1_DQS,,,,TIM15_CH1N,EVENTOUT,ADC1_IN6/ADC2_IN6
PortA,PA2,,TIM2_CH3,TIM5_CH3,,,,,USART2_TX,LPUART1_TX,,OCTOSPIM_P1_NCS,,,,TIM15_CH1,EVENTOUT,ADC1_IN7/ADC2_IN7
PortA,PA3,,TIM2_CH4,TIM5_CH4,SAI1_CK1,,,,USART2_RX,LPUART1_RX,,OCTOSPIM_P1_CLK,,,SAI1_MCLK_A,TIM15_CH2,EVENTOUT,ADC1_IN8/ADC2_IN8
PortA,PA4,,,,OCTOSPIM_P1_NCS,,SPI1_NSS,SPI3_NSS,,,,DCMI_HSYNC,,,SAI1_FS_B,LPTIM2_CH1,EVENTOUT,ADC1_IN9/ADC2_IN9/ADC4_IN9
PortA,PA5,,TIM2_CH1,,TIM8_CH1N,,SPI1_SCK,,USART3_RX,,,,,,,LPTIM2_ETR,EVENTOUT,ADC1_IN10/ADC2_IN10/ADC4_IN10
PortA,PA6,,TIM1_BKIN,TIM3_CH1,TIM8_BKIN,DCMI_PIXCLK,SPI1_MISO,,USART3_CTS,LPUART1_CTS,,OCTOSPIM_P1_IO3,,,,TIM16_CH1,EVENTOUT,ADC1_IN11/ADC2_IN11/ADC4_IN11
PortA,PA7,,TIM1_CH1N,TIM3_CH2,TIM8_CH1N,I2C3_SCL,SPI1_MOSI,,USART3_TX,,,OCTOSPIM_P1_IO2,,,LPTIM2_CH2,TIM17_CH1,EVENTOUT,ADC1_IN12/ADC2_IN12/ADC4_IN20
PortA,PA8,RCC_MCO,TIM1_CH1,,SAI1_CK2,,,,,SDMMC2_D1,,OTG_HS_SOF,,,SAI1_SCK_A,LPTIM2_CH1,EVENTOUT,
